"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.12.2022","3.839,50","3.829,06","3.839,85","3.800,34","","-0,25%"
"29.12.2022","3.849,28","3.805,45","3.858,19","3.805,45","","1,75%"
"28.12.2022","3.783,22","3.829,56","3.848,32","3.780,78","","-1,20%"
"27.12.2022","3.829,25","3.843,34","3.846,65","3.813,22","","-0,40%"
"23.12.2022","3.844,82","3.815,11","3.845,80","3.797,01","","0,59%"
"22.12.2022","3.822,39","3.853,26","3.853,26","3.764,49","","-1,45%"
"21.12.2022","3.878,44","3.839,49","3.889,82","3.839,49","","1,49%"
"20.12.2022","3.821,62","3.810,47","3.838,24","3.795,62","","0,10%"
"19.12.2022","3.817,66","3.853,79","3.854,86","3.800,04","","-0,90%"
"16.12.2022","3.852,36","3.890,91","3.890,91","3.827,91","","-1,11%"
"15.12.2022","3.895,75","3.958,37","3.958,37","3.879,45","","-2,49%"
"14.12.2022","3.995,32","4.015,54","4.053,76","3.965,65","","-0,61%"
"13.12.2022","4.019,65","4.069,38","4.100,96","3.993,03","","0,73%"
"12.12.2022","3.990,56","3.939,29","3.990,71","3.935,30","","1,43%"
"09.12.2022","3.934,38","3.954,17","3.977,02","3.933,04","","-0,73%"
"08.12.2022","3.963,51","3.947,79","3.974,19","3.935,83","","0,75%"
"07.12.2022","3.933,92","3.933,28","3.957,57","3.922,68","","-0,19%"
"06.12.2022","3.941,26","3.996,63","4.001,51","3.918,39","","-1,44%"
"05.12.2022","3.998,84","4.052,02","4.052,45","3.984,49","","-1,79%"
"02.12.2022","4.071,70","4.040,17","4.080,48","4.026,63","","-0,12%"
"01.12.2022","4.076,57","4.087,14","4.100,51","4.050,87","","-0,09%"
"30.11.2022","4.080,11","3.957,18","4.080,11","3.938,58","","3,09%"
"29.11.2022","3.957,63","3.964,19","3.976,77","3.937,65","","-0,16%"
"28.11.2022","3.963,94","4.005,36","4.012,27","3.955,77","","-1,54%"
"25.11.2022","4.026,12","4.023,34","4.034,02","4.020,76","","-0,03%"
"23.11.2022","4.027,26","4.000,30","4.033,78","3.998,66","","0,59%"
"22.11.2022","4.003,58","3.965,51","4.005,88","3.956,88","","1,36%"
"21.11.2022","3.949,94","3.956,23","3.962,00","3.933,34","","-0,39%"
"18.11.2022","3.965,34","3.966,39","3.979,89","3.935,98","","0,48%"
"17.11.2022","3.946,56","3.919,26","3.954,33","3.906,54","","-0,31%"
"16.11.2022","3.958,79","3.976,82","3.983,09","3.954,34","","-0,83%"
"15.11.2022","3.991,73","4.006,41","4.028,84","3.953,17","","0,87%"
"14.11.2022","3.957,25","3.977,97","4.008,97","3.956,40","","-0,89%"
"11.11.2022","3.992,93","3.963,72","4.001,48","3.944,82","","0,92%"
"10.11.2022","3.956,37","3.859,89","3.958,33","3.859,89","","5,54%"
"09.11.2022","3.748,57","3.810,94","3.818,20","3.744,22","","-2,08%"
"08.11.2022","3.828,11","3.817,02","3.859,40","3.786,28","","0,56%"
"07.11.2022","3.806,80","3.780,71","3.813,95","3.764,70","","0,96%"
"04.11.2022","3.770,55","3.766,98","3.796,34","3.708,84","","1,36%"
"03.11.2022","3.719,89","3.733,25","3.750,59","3.698,15","","-1,06%"
"02.11.2022","3.759,69","3.852,90","3.894,44","3.758,68","","-2,50%"
"01.11.2022","3.856,10","3.901,79","3.911,79","3.843,80","","-0,41%"
"31.10.2022","3.871,98","3.881,85","3.893,73","3.863,18","","-0,75%"
"28.10.2022","3.901,06","3.808,26","3.905,42","3.808,26","","2,46%"
"27.10.2022","3.807,30","3.834,69","3.859,95","3.803,79","","-0,61%"
"26.10.2022","3.830,60","3.825,97","3.886,15","3.824,07","","-0,74%"
"25.10.2022","3.859,11","3.799,44","3.862,85","3.799,44","","1,63%"
"24.10.2022","3.797,34","3.762,01","3.810,74","3.741,65","","1,19%"
"21.10.2022","3.752,75","3.657,10","3.757,89","3.647,42","","2,37%"
"20.10.2022","3.665,78","3.689,05","3.736,00","3.656,44","","-0,80%"
"19.10.2022","3.695,16","3.703,11","3.728,58","3.666,51","","-0,67%"
"18.10.2022","3.719,98","3.746,26","3.762,79","3.686,53","","1,14%"
"17.10.2022","3.677,95","3.638,65","3.689,73","3.638,65","","2,65%"
"14.10.2022","3.583,07","3.690,41","3.712,00","3.579,68","","-2,37%"
"13.10.2022","3.669,91","3.520,37","3.685,41","3.491,58","","2,60%"
"12.10.2022","3.577,03","3.590,83","3.608,34","3.573,86","","-0,33%"
"11.10.2022","3.588,84","3.595,86","3.640,66","3.568,45","","-0,65%"
"10.10.2022","3.612,39","3.647,51","3.652,17","3.588,10","","-0,75%"
"07.10.2022","3.639,66","3.706,74","3.706,74","3.620,73","","-2,80%"
"06.10.2022","3.744,52","3.771,97","3.797,93","3.739,22","","-1,02%"
"05.10.2022","3.783,28","3.753,25","3.806,91","3.722,66","","-0,20%"
"04.10.2022","3.790,93","3.726,46","3.791,92","3.726,46","","3,06%"
"03.10.2022","3.678,43","3.609,78","3.698,35","3.604,93","","2,59%"
"30.09.2022","3.585,62","3.633,48","3.671,44","3.584,13","","-1,51%"
"29.09.2022","3.640,47","3.687,01","3.687,01","3.610,40","","-2,11%"
"28.09.2022","3.719,04","3.651,94","3.736,74","3.640,61","","1,97%"
"27.09.2022","3.647,29","3.686,44","3.717,53","3.623,29","","-0,21%"
"26.09.2022","3.655,04","3.682,72","3.715,67","3.644,76","","-1,03%"
"23.09.2022","3.693,23","3.727,14","3.727,14","3.647,47","","-1,72%"
"22.09.2022","3.757,99","3.782,36","3.790,90","3.749,45","","-0,84%"
"21.09.2022","3.789,93","3.871,40","3.907,07","3.789,49","","-1,71%"
"20.09.2022","3.855,93","3.875,23","3.876,01","3.827,54","","-1,13%"
"19.09.2022","3.899,89","3.849,91","3.900,45","3.838,50","","0,69%"
"16.09.2022","3.873,33","3.880,95","3.880,95","3.837,08","","-0,72%"
"15.09.2022","3.901,35","3.932,41","3.959,14","3.888,28","","-1,13%"
"14.09.2022","3.946,01","3.940,73","3.961,94","3.912,18","","0,34%"
"13.09.2022","3.932,69","4.037,12","4.037,12","3.921,28","","-4,32%"
"12.09.2022","4.110,41","4.083,67","4.119,28","4.083,67","","1,06%"
"09.09.2022","4.067,36","4.022,94","4.076,81","4.022,94","","1,53%"
"08.09.2022","4.006,18","3.959,94","4.010,50","3.944,81","","0,66%"
"07.09.2022","3.979,87","3.909,43","3.987,89","3.906,03","","1,83%"
